year,geo,dguid,geo_level,is_national,gender,age,population
2023,Prince Edward Island,2021A000211,province,False,Women+,16_plus,75581
2023,Quebec,2021A000224,province,False,Men+,16_plus,3665033
2023,Quebec,2021A000224,province,False,Total - gender,16_plus,7346358
2023,Quebec,2021A000224,province,False,Women+,16_plus,3681325
2023,Saskatchewan,2021A000247,province,False,Men+,16_plus,483339
2023,Saskatchewan,2021A000247,province,False,Total - gender,16_plus,963607
2023,Saskatchewan,2021A000247,province,False,Women+,16_plus,480268
2023,Yukon,2021A000260,province,False,Men+,16_plus,18851
2023,Yukon,2021A000260,province,False,Total - gender,16_plus,37706
2023,Yukon,2021A000260,province,False,Women+,16_plus,18855
2024,Alberta,2021A000248,province,False,Men+,16_plus,1995506
2024,Alberta,2021A000248,province,False,Total - gender,16_plus,3980495
2024,Alberta,2021A000248,province,False,Women+,16_plus,1984989
2024,British Columbia,2021A000259,province,False,Men+,16_plus,2395563
2024,British Columbia,2021A000259,province,False,Total - gender,16_plus,4863298
2024,British Columbia,2021A000259,province,False,Women+,16_plus,2467735
2024,Canada,2021A000011124,national,True,Men+,16_plus,17180618
2024,Canada,2021A000011124,national,True,Total - gender,16_plus,34549719
2024,Canada,2021A000011124,national,True,Women+,16_plus,17369101
2024,Manitoba,2021A000246,province,False,Men+,16_plus,607119
2024,Manitoba,2021A000246,province,False,Total - gender,16_plus,1207059
2024,Manitoba,2021A000246,province,False,Women+,16_plus,599940
2024,New Brunswick,2021A000213,province,False,Men+,16_plus,358606
2024,New Brunswick,2021A000213,province,False,Total - gender,16_plus,728182
2024,New Brunswick,2021A000213,province,False,Women+,16_plus,369576
2024,Newfoundland and Labrador,2021A000210,province,False,Men+,16_plus,232526
2024,Newfoundland and Labrador,2021A000210,province,False,Total - gender,16_plus,473028
2024,Newfoundland and Labrador,2021A000210,province,False,Women+,16_plus,240502
2024,Northwest Territories,2021A000261,province,False,Men+,16_plus,18728
2024,Northwest Territories,2021A000261,province,False,Total - gender,16_plus,36305
2024,Northwest Territories,2021A000261,province,False,Women+,16_plus,17577
2024,Nova Scotia,2021A000212,province,False,Men+,16_plus,454999
2024,Nova Scotia,2021A000212,province,False,Total - gender,16_plus,925347
2024,Nova Scotia,2021A000212,province,False,Women+,16_plus,470348
2024,Nunavut,2021A000262,province,False,Men+,16_plus,14204
2024,Nunavut,2021A000262,province,False,Total - gender,16_plus,27897
2024,Nunavut,2021A000262,province,False,Women+,16_plus,13693
2024,Ontario,2021A000235,province,False,Men+,16_plus,6747553
2024,Ontario,2021A000235,province,False,Total - gender,16_plus,13606758
2024,Ontario,2021A000235,province,False,Women+,16_plus,6859205
2024,Prince Edward Island,2021A000211,province,False,Men+,16_plus,74204
2024,Prince Edward Island,2021A000211,province,False,Total - gender,16_plus,152476
2024,Prince Edward Island,2021A000211,province,False,Women+,16_plus,78272
2024,Quebec,2021A000224,province,False,Men+,16_plus,3760582
2024,Quebec,2021A000224,province,False,Total - gender,16_plus,7511679
2024,Quebec,2021A000224,province,False,Women+,16_plus,3751097
2024,Saskatchewan,2021A000247,province,False,Men+,16_plus,501130
2024,Saskatchewan,2021A000247,province,False,Total - gender,16_plus,997502
2024,Saskatchewan,2021A000247,province,False,Women+,16_plus,496372
2024,Yukon,2021A000260,province,False,Men+,16_plus,19898
2024,Yukon,2021A000260,province,False,Total - gender,16_plus,39693
2024,Yukon,2021A000260,province,False,Women+,16_plus,19795
2025,Alberta,2021A000248,province,False,Men+,16_plus,2049932
2025,Alberta,2021A000248,province,False,Total - gender,16_plus,4089647
2025,Alberta,2021A000248,province,False,Women+,16_plus,2039715
2025,British Columbia,2021A000259,province,False,Men+,16_plus,2408955
