"REF_DATE","GEO","DGUID","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Newfoundland and Labrador","2021A000210","Women+","All ages","Persons","249","units","0","v466985","2.3.1","266596","","","","0"
"2022","Newfoundland and Labrador","2021A000210","Women+","All ages","Persons","249","units","0","v466985","2.3.1","268512","","","","0"
"2023","Newfoundland and Labrador","2021A000210","Women+","All ages","Persons","249","units","0","v466985","2.3.1","272206","","","","0"
"2024","Newfoundland and Labrador","2021A000210","Women+","All ages","Persons","249","units","0","v466985","2.3.1","276462","","","","0"
"2025","Newfoundland and Labrador","2021A000210","Women+","All ages","Persons","249","units","0","v466985","2.3.1","278193","","","","0"
"2017","Newfoundland and Labrador","2021A000210","Women+","16 to 64 years","Persons","249","units","0","v467291","2.3.97","173460","","","","0"
"2018","Newfoundland and Labrador","2021A000210","Women+","16 to 64 years","Persons","249","units","0","v467291","2.3.97","171236","","","","0"
"2019","Newfoundland and Labrador","2021A000210","Women+","16 to 64 years","Persons","249","units","0","v467291","2.3.97","169147","","","","0"
"2020","Newfoundland and Labrador","2021A000210","Women+","16 to 64 years","Persons","249","units","0","v467291","2.3.97","166988","","","","0"
"2021","Newfoundland and Labrador","2021A000210","Women+","16 to 64 years","Persons","249","units","0","v467291","2.3.97","165197","","","","0"
"2022","Newfoundland and Labrador","2021A000210","Women+","16 to 64 years","Persons","249","units","0","v467291","2.3.97","165165","","","","0"
"2023","Newfoundland and Labrador","2021A000210","Women+","16 to 64 years","Persons","249","units","0","v467291","2.3.97","166612","","","","0"
"2024","Newfoundland and Labrador","2021A000210","Women+","16 to 64 years","Persons","249","units","0","v467291","2.3.97","168768","","","","0"
"2025","Newfoundland and Labrador","2021A000210","Women+","16 to 64 years","Persons","249","units","0","v467291","2.3.97","168829","","","","0"
"2017","Newfoundland and Labrador","2021A000210","Women+","65 years and older","Persons","249","units","0","v467003","2.3.104","55161","","","","0"
"2018","Newfoundland and Labrador","2021A000210","Women+","65 years and older","Persons","249","units","0","v467003","2.3.104","57645","","","","0"
"2019","Newfoundland and Labrador","2021A000210","Women+","65 years and older","Persons","249","units","0","v467003","2.3.104","60235","","","","0"
"2020","Newfoundland and Labrador","2021A000210","Women+","65 years and older","Persons","249","units","0","v467003","2.3.104","62839","","","","0"
"2021","Newfoundland and Labrador","2021A000210","Women+","65 years and older","Persons","249","units","0","v467003","2.3.104","65492","","","","0"
"2022","Newfoundland and Labrador","2021A000210","Women+","65 years and older","Persons","249","units","0","v467003","2.3.104","67441","","","","0"
"2023","Newfoundland and Labrador","2021A000210","Women+","65 years and older","Persons","249","units","0","v467003","2.3.104","69616","","","","0"
"2024","Newfoundland and Labrador","2021A000210","Women+","65 years and older","Persons","249","units","0","v467003","2.3.104","71734","","","","0"
"2025","Newfoundland and Labrador","2021A000210","Women+","65 years and older","Persons","249","units","0","v467003","2.3.104","73624","","","","0"
"2017","Prince Edward Island","2021A000211","Total - gender","All ages","Persons","249","units","0","v467298","3.1.1","149740","","","","0"
"2018","Prince Edward Island","2021A000211","Total - gender","All ages","Persons","249","units","0","v467298","3.1.1","152259","","","","0"
"2019","Prince Edward Island","2021A000211","Total - gender","All ages","Persons","249","units","0","v467298","3.1.1","155792","","","","0"
"2020","Prince Edward Island","2021A000211","Total - gender","All ages","Persons","249","units","0","v467298","3.1.1","159193","","","","0"
"2021","Prince Edward Island","2021A000211","Total - gender","All ages","Persons","249","units","0","v467298","3.1.1","162133","","","","0"
"2022","Prince Edward Island","2021A000211","Total - gender","All ages","Persons","249","units","0","v467298","3.1.1","167200","","","","0"
"2023","Prince Edward Island","2021A000211","Total - gender","All ages","Persons","249","units","0","v467298","3.1.1","173734","","","","0"
"2024","Prince Edward Island","2021A000211","Total - gender","All ages","Persons","249","units","0","v467298","3.1.1","179709","","","","0"
"2025","Prince Edward Island","2021A000211","Total - gender","All ages","Persons","249","units","0","v467298","3.1.1","182657","","","","0"
"2017","Prince Edward Island","2021A000211","Total - gender","16 to 64 years","Persons","249","units","0","v467604","3.1.97","95760","","","","0"
"2018","Prince Edward Island","2021A000211","Total - gender","16 to 64 years","Persons","249","units","0","v467604","3.1.97","96946","","","","0"
"2019","Prince Edward Island","2021A000211","Total - gender","16 to 64 years","Persons","249","units","0","v467604","3.1.97","99023","","","","0"
"2020","Prince Edward Island","2021A000211","Total - gender","16 to 64 years","Persons","249","units","0","v467604","3.1.97","101151","","","","0"
"2021","Prince Edward Island","2021A000211","Total - gender","16 to 64 years","Persons","249","units","0","v467604","3.1.97","102897","","","","0"
"2022","Prince Edward Island","2021A000211","Total - gender","16 to 64 years","Persons","249","units","0","v467604","3.1.97","106126","","","","0"
"2023","Prince Edward Island","2021A000211","Total - gender","16 to 64 years","Persons","249","units","0","v467604","3.1.97","111205","","","","0"
"2024","Prince Edward Island","2021A000211","Total - gender","16 to 64 years","Persons","249","units","0","v467604","3.1.97","115627","","","","0"
